recno,[JD2002],RAJ2000,DEJ2000,m5007,DiamI,DiamS,Field,l_[NII]/Ha,[NII]/Ha,Comm
1,1,11.298749999999998,-73.31616666666666,20.6,16,14,3,<,0.05,"Continuum"
2,2,11.402083333333332,-73.40108333333332,21.5,10,17,3, ,0.1,"Continuum"
3,3,11.659999999999998,-73.42413888888888,22.5,4,5,3,<,0.05," "
4,4,11.818749999999998,-73.18691666666666,21.4,3,5,4, ,0.3," "
5,5,11.916666666666664,-72.65013888888888,22.3,4,6,5,<,0.05," "
6,6,12.283749999999998,-73.03999999999999,21.2,,5,4, ,1.6," "
7,7,12.395833333333332,-73.44358333333332,20.8,7,10,2, ,0.08," "
8,8,12.448333333333332,-72.68633333333332,21.9,3,3,1,<,0.05," "
9,9,12.51458333333333,-73.18038888888888,18.42,,5,1, ,0.5,"Continuum"
10,10,12.598749999999999,-72.38569444444444,23.0,7,7,6,<,0.05," "
11,11,12.719999999999999,-72.87141666666666,21.42,,3,1,<,0.05," "
12,12,12.783333333333331,-73.20127777777776,20.6,,4,1, ,0.3," "
13,13,12.925833333333332,-72.84108333333333,20.9,,5,1, ,1.2,"Continuum"
14,14,13.101249999999999,-72.9178611111111,21.0,4,5,1, ,1.3," "
15,15,13.103333333333332,-72.95844444444444,21.3,6,6,1,<,0.05," "
16,16,13.194166666666664,-73.5613611111111,22.3,,5,2, ,1.8," "
17,17,14.219166666666665,-72.35033333333332,21.13,,4,6, ,2.2," "
18,18,14.75708333333333,-73.44480555555555,20.65,,5,9,<,0.05," "
19,19,14.873333333333331,-73.6523611111111,20.92,,5,9, ,0.8," "
20,20,15.062083333333332,-72.27758333333333,20.7,,3,7, ,5.9," "
21,21,15.389999999999997,-72.58130555555555,22.6,,3,7, ,0.4," "
22,22,15.470416666666665,-73.69794444444443,22.6,2,1,9, ,5.4," "
23,23,15.504166666666665,-72.98299999999999,21.69,,3,8,<,0.05," "
24,24,15.700833333333332,-72.95558333333332,23.0,3,4,8,<,0.05," "
25,25,15.86083333333333,-73.03655555555555,22.1,,3,8, ,2.0," "
